DATE,RESERVOIR SAND,Measurement TYPE,GAUGE_DEPTH_MDRKB_ft,GAUGE_DEPTH_TVDSS_ft,Borehole_Fluid Density_psi/ft,Datum_DEPTH TVDSS_ft,Resv_FluidDens_psi/ft,CorrToDATUM_psi,PressureGaugeSI_BHP_psig,PressureDatum_SI_BHP_psig,oldDatumSI_BHP_or_directInput_psig
3/4/1974,C-2,static,8290.0,8106.0,0.210,8200,0.21,19.7,4243.0,4262.7,4262
2/23/1975,C-2,static,8290.6,8107.1,0.243,8200,0.24,22.6,3327.5,3350.0,3350
8/27/1975,C-2,static,8279.0,8095.0,0.210,8200,0.21,22.1,3831.0,3853.1,3848
3/22/1976,C-2,static,8280.0,8096.0,0.243,8200,0.24,25.2,3292.0,3317.2,3321
11/10/1976,C-2,static,6790.0,6606.0,0.255,8200,0.26,406.8,2616.5,3023.3,2914
8/8/1977,C-2,static,8261.1,8077.6,0.252,8200,0.25,30.9,2905.1,2936.0,2936
10/23/1980,C-2,static,8239.9,8056.4,0.257,8200,0.26,36.9,2592.6,2629.5,2619
5/3/1981,C-2,static,8240.0,8056.0,0.246,8200,0.25,35.5,2603.0,2638.5,2627
11/27/1981,C-2,static,8240.1,8056.0,0.249,8200,0.25,35.9,2542.0,2577.9,2539
5/19/1982,C-2,static,8240.1,8056.0,0.251,8200,0.25,36.2,2691.8,2728.0,2718
1/30/1983,C-2,static,8239.7,8056.2,0.117,8200,0.12,16.8,2689.0,2705.8,2706
8/11/1983,C-2,static,8240.1,8056.2,0.239,8200,0.24,34.3,2376.2,2410.5,2393
2/26/1984,C-2,static,8240.1,8056.2,0.113,8200,0.11,16.3,2197.0,2213.3,2208
6/28/1984,C-2,static,8240.1,8056.2,0.245,8200,0.25,35.2,2189.9,2225.0,2200
3/20/1985,C-2,static,8240.1,8056.2,0.257,8200,0.26,37.0,1955.5,1992.5,1964
5/28/1986,C-2,static,6999.6,6815.6,0.048,8200,0.05,66.0,1630.6,1696.6,1697
11/27/1986,C-2,static,8240.0,8055.5,0.119,8200,0.12,17.2,1614.0,1631.2,1631
6/21/1987,C-2,static,8240.0,8055.5,0.081,8200,0.08,11.7,1547.3,1559.0,1561
12/14/1987,C-2,static,8240.0,8055.5,0.065,8200,0.07,9.3,1506.9,1516.2,1519
5/17/1988,C-2,static,8240.0,8055.5,0.087,8200,0.09,12.5,1482.7,1495.2,1496
1/29/1989,C-2,static,7999.5,7815.5,0.037,8200,0.04,14.3,1349.8,1364.0,1369
5/7/1989,C-2,static,7999.9,7815.9,0.067,8200,0.07,25.9,1315.6,1341.5,1342
5/4/1990,C-2,static,7799.5,7615.5,0.064,8200,0.06,37.6,1229.3,1267.0,1270
6/11/1993,C-2,static,7999.5,7813.5,0.032,8200,0.03,12.4,1339.7,1352.0,1341
2/23/1997,C-2,static,7999.9,7816.0,0.318,8200,0.32,122.1,2065.6,2187.7,2188
6/7/2000,C-2,static,8160.0,7976.0,0.422,8200,0.42,94.6,1765.0,1859.5,1859
3/12/1974,A-2,static,6699.4,6515.9,0.286,6700,0.29,52.7,2929.3,2982.0,2982
8/7/1977,A-2,static,6801.1,6613.1,0.290,6700,0.29,25.2,2472.9,2498.0,2498
8/8/1977,A-2,static,4999.9,4816.4,0.074,6700,0.07,138.8,2059.1,2198.0,2198
9/26/1979,A-2,static,6660.0,6476.5,0.048,6700,0.05,10.8,1521.5,2027.0,1538
9/3/1984,A-2,static,6629.8,6446.3,0.074,6700,0.07,18.7,2950.7,2981.0,2981
5/30/1986,A-2,static,6629.3,6445.6,0.056,6700,0.06,14.3,1825.3,1840.0,1840
12/2/1986,A-2,static,6579.6,6395.6,0.056,6700,0.06,17.1,2032.2,2049.0,2049
12/14/1987,A-2,static,6579.6,6395.6,0.048,6700,0.05,14.5,1986.4,2000.0,2000
5/16/1988,A-2,static,6579.6,6395.6,0.048,6700,0.05,14.5,2049.1,2063.0,2063
1/26/1989,A-2,static,6579.6,6395.6,0.048,6700,0.05,14.6,2133.6,2148.0,2148
5/4/1989,A-2,static,6579.6,6395.6,0.049,6700,0.05,14.9,2204.1,2220.0,2220
11/28/1989,A-2,static,6579.6,6395.6,0.049,6700,0.05,14.9,2253.3,2303.0,2303
3/29/1974,A-2,static,6732.2,6544.2,0.286,6700,0.29,44.6,2915.1,2959.0,2959
4/23/1981,A-2,static,6764.0,6576.0,0.197,6700,0.20,24.4,1881.3,1906.0,1906
11/24/1981,A-2,static,6769.9,3301.1,0.197,6700,0.20,670.2,1821.6,1845.0,1845
1/16/1983,A-2,static,6769.9,6581.9,0.104,6700,0.10,12.3,1744.8,1757.0,1757
12/22/1987,A-2,static,5999.9,5811.9,0.425,6700,0.43,377.2,1697.0,2064.0,2064
5/17/1988,A-2,static,5999.9,5811.9,0.429,6700,0.43,381.0,2056.1,2101.0,2101
1/26/1989,A-2,static,6769.6,6581.6,0.423,6700,0.42,50.1,2197.1,2244.0,2244
5/4/1992,AA-3,static,5286.7,5076.0,0.391,5400,0.39,126.8,1972.3,2099.1,1972
10/26/1998,AA-3,static,5475.9,5265.0,0.352,5400,0.09,47.6,1636.7,1684.3,1676
6/1/2000,AA-3,static,5464.0,5254.0,0.430,5400,0.31,62.9,1697.0,1759.9,1747
5/20/2008,AA-3,static,5532.0,5323.0,0.437,5400,0.44,33.7,1716.2,1749.9,1748
12/29/1974,AA-3,static,5561.0,5373.0,0.303,5400,0.30,8.3,2389.0,2397.2,2397
2/28/1976,AA-3,static,5597.0,5409.1,0.344,5400,0.34,-3.0,2389.0,2385.9,2386
8/8/1977,AA-3,static,5610.2,5422.2,0.334,5400,0.33,-7.3,2364.8,2357.5,2357
9/20/1978,AA-3,static,5587.2,5401.8,0.312,5400,0.31,-0.5,2364.8,2364.3,2364
10/27/1980,AA-3,static,5509.9,5321.9,0.312,5400,0.31,24.4,2342.9,2367.3,2367
5/4/1981,AA-3,static,5449.1,5261.1,0.312,5400,0.31,43.4,2268.1,2311.5,2312
11/25/1981,AA-3,static,5452.0,5264.0,0.312,5400,0.31,42.5,2252.4,2295.0,2295
5/18/1982,AA-3,static,4999.9,4811.9,0.312,5400,0.31,183.5,2241.1,2424.6,2425
1/16/1983,AA-3,static,4999.9,4811.9,0.291,5400,0.29,171.1,2064.7,2235.9,2236
8/10/1983,AA-3,static,4999.9,4811.9,0.294,5400,0.29,172.9,1982.3,2155.2,2155
3/9/1984,AA-3,static,4999.9,4811.9,0.254,5400,0.25,149.4,1939.6,2089.0,2089
9/2/1984,AA-3,static,4999.9,4811.9,0.264,5400,0.26,155.3,1921.1,2076.4,2076
4/2/1985,AA-3,static,4999.9,4811.9,0.262,5400,0.26,154.0,1884.2,2038.1,2038
10/26/1985,AA-3,static,4999.9,4811.9,0.273,5400,0.27,160.6,1874.2,2034.8,2029
11/23/1986,AA-3,static,4999.7,4811.7,0.425,5400,0.43,249.9,1829.1,2079.1,2086
6/23/1987,AA-3,static,5452.0,5261.7,0.316,5400,0.32,43.8,2021.5,2065.3,2065
12/17/1987,AA-3,static,5449.7,5261.7,0.329,5400,0.33,45.6,2015.0,2060.6,2060
5/18/1988,AA-3,static,5449.7,5261.7,0.351,5400,0.35,48.6,2009.3,2057.9,2057
1/27/1989,AA-3,static,5449.7,5261.7,0.414,5400,0.41,57.3,1979.9,2037.2,2036
12/11/1990,AA-3,static,5565.6,5363.5,0.391,5400,0.39,14.4,2050.4,2064.7,2065
10/26/1999,AA-3,static,5469.0,5281.0,0.426,5400,0.43,50.8,1688.0,1738.8,1720
6/2/2000,AA-3,static,5464.0,5276.0,0.430,5400,0.43,53.3,1692.3,1745.6,1746
7/6/2002,AA-3,static,5500.0,5312.0,0.427,5400,0.43,37.6,1695.0,1732.6,1735
7/9/2002,AA-3,static,5500.0,5312.0,0.430,5400,0.43,37.8,1710.0,1747.8,1734
5/20/2008,AA-3,static,5418.0,5209.2,0.430,5400,0.43,82.0,1674.2,1756.2,1735
8/8/1974,C-2,static,8431.7,8246.7,0.238,8200,0.24,-11.1,4209.1,4198.0,4198
8/11/1974,C-2,static,8273.0,8067.0,0.237,8200,0.24,31.6,4216.0,4247.6,4254
2/24/1975,C-2,static,8284.0,8099.0,0.238,8200,0.24,24.1,3071.5,3095.6,3095
8/9/1977,A-2,static,6784.7,6599.7,0.294,6700,0.29,29.4,2448.7,2478.1,2478
1/17/1979,A-2,static,6779.8,6594.8,0.048,6700,0.05,5.1,2073.3,2078.3,2091
11/3/1980,A-2,static,6779.2,6594.2,0.171,6700,0.17,18.1,1947.0,1965.1,1965
4/24/1981,A-2,static,6744.0,6559.0,0.171,6700,0.17,24.1,1935.3,1959.5,1959
11/24/1981,A-2,static,6749.9,6564.9,0.171,6700,0.17,23.1,1955.3,1978.4,1978
1/21/1983,A-2,static,6749.9,6564.9,0.053,6700,0.05,7.1,1955.3,1962.4,1962
2/17/1984,A-2,static,6749.9,6564.9,0.043,6700,0.04,5.8,1937.0,1942.8,1942
2/19/1997,A-2,static,6000.0,5796.0,0.299,6700,0.30,269.8,1592.6,1862.5,1857
10/30/1999,A-2,static,6650.0,6466.0,0.388,6700,0.39,90.7,1736.0,1826.7,1892
6/4/2000,A-2,static,6690.0,6506.0,0.427,6700,0.43,82.8,2423.9,2506.7,2509
9/1/2001,A-2,static,6690.0,6506.0,0.405,6700,0.41,78.6,1576.0,1654.6,1616
2/19/1974,A-1.1,static,6548.5,6363.5,0.286,6300,0.29,-18.2,2844.0,2840.1,2840
2/27/1976,A-1.1,static,6430.4,6245.4,0.261,6300,0.26,14.3,2787.1,2828.1,2828
11/10/1976,A-1.1,static,6430.4,6245.4,0.104,6300,0.10,5.7,2716.0,2727.1,2727
8/8/1977,A-1.1,static,6584.6,6399.6,0.208,6300,0.21,-20.7,2767.2,2757.1,2757
4/29/1981,A-1.1,static,6494.0,6309.0,0.138,6300,0.14,-1.2,2602.3,2608.1,2608
5/23/1982,A-1.1,static,6519.9,6336.6,0.080,6300,0.08,-2.9,2387.5,2389.1,2389
2/17/1984,A-1.1,static,6200.1,6015.1,0.068,6300,0.07,19.4,2177.1,2200.1,2200
8/29/1975,A-2,static,6765.0,6584.0,0.290,6700,0.29,33.7,2787.1,2820.8,2821
2/25/1976,A-2,static,6699.4,6518.4,0.299,6700,0.30,54.3,2815.6,2869.9,2742
11/12/1976,A-2,static,6548.5,6343.0,0.303,6700,0.30,108.3,1664.0,1772.3,1764
8/7/1977,A-2,static,6758.4,6577.4,0.293,6700,0.29,35.8,2418.8,2454.7,2454
4/25/1981,A-2,static,6733.8,6552.8,0.286,6700,0.29,42.1,1780.3,1822.4,1822
11/24/1981,A-2,static,6749.9,6568.9,0.286,6700,0.29,37.5,1687.9,1725.4,1725
5/21/1982,A-2,static,6740.1,6559.1,0.286,6700,0.29,40.3,1744.8,1785.1,1785
6/10/1992,A-2,static,6699.6,6519.0,0.435,6700,0.44,78.7,2432.9,2511.6,2465
8/23/2001,A-2,static,6700.0,6519.0,0.424,6700,0.42,76.8,2839.0,2915.8,2986
7/7/2002,A-2,static,6670.0,6468.0,0.425,6700,0.13,98.6,2799.0,2897.6,2889
12/20/1974,B-1,static,7414.6,7295.0,0.273,7451,0.27,42.6,3199.5,3242.1,3244
2/26/1976,B-1,static,7349.0,7229.0,0.270,7451,0.27,59.9,3185.3,3245.2,3239
11/9/1976,B-1,static,6899.5,6804.5,0.269,7451,0.27,173.7,3028.9,3202.6,3202
8/9/1977,B-1,static,7378.5,7260.0,0.285,7451,0.29,54.4,3142.6,3197.1,3191
5/6/1982,A-2,static,6745.0,6650.0,0.236,6700,0.24,11.8,1820.2,1832.0,1832
2/17/1984,A-2,static,5999.9,5904.9,0.236,6700,0.24,187.8,1528.7,1716.4,1716
6/27/1984,A-2,static,6749.9,6654.9,0.230,6700,0.23,10.4,1798.8,1809.2,1809
4/4/1985,A-2,static,6749.9,6654.9,0.269,6700,0.27,12.1,1864.7,1876.8,1877
10/24/1985,A-2,static,6749.9,6654.9,0.117,6700,0.12,5.3,1804.9,1810.2,1810
6/4/1986,A-2,static,6749.6,6654.6,0.295,6700,0.30,13.4,1790.6,1804.0,1804
11/24/1986,A-2,static,6749.6,6654.6,0.329,6700,0.33,15.0,1987.5,2002.5,2001
6/18/1987,A-2,static,6749.6,6654.6,0.364,6700,0.36,16.5,1936.3,1952.9,1951
12/15/1987,A-2,static,6749.6,6654.9,0.407,6700,0.41,18.4,1986.4,2004.8,2002
6/18/1988,A-2,static,6749.6,6654.9,0.420,6700,0.42,19.0,2057.5,2076.4,2074
6/6/1989,A-2,static,6749.6,6654.9,0.405,6700,0.41,18.2,2236.1,2254.3,2255
12/29/1989,A-2,static,6749.6,6654.9,0.430,6700,0.43,19.4,2305.3,2324.7,2336
8/27/2001,A-2,static,6700.0,6605.0,0.433,6700,0.43,41.1,2930.1,2986.0,2971
12/20/1974,A-1.1,static,6381.2,6286.2,0.288,6300,0.29,4.0,2801.3,2805.3,2804
8/24/1975,A-1.1,static,6433.6,6338.7,0.288,6300,0.29,-11.1,2630.7,2619.6,2619
2/27/1976,A-1.1,static,4999.9,4905.0,0.283,6300,0.28,394.8,2403.2,2798.0,2797
11/10/1976,A-1.1,static,6249.9,6154.9,0.299,6300,0.30,43.4,2772.9,2816.3,2816
8/9/1977,A-1.1,static,6496.0,6400.9,0.286,6300,0.29,-28.9,2748.7,2719.9,2719
4/29/1981,A-1.1,static,6443.8,6348.8,0.190,6300,0.19,-9.3,2690.4,2681.2,2690
5/19/1982,A-1.1,static,6450.1,6355.1,0.190,6300,0.19,-10.4,2653.5,2643.0,2652
3/11/1984,A-1.1,static,6450.1,6355.1,0.080,6300,0.08,-4.4,2515.5,2511.1,2515
8/28/1984,A-1.1,static,6450.1,6355.1,0.091,6300,0.09,-5.0,2481.4,2476.4,2481
4/5/1985,A-1.1,static,6450.1,6355.1,0.081,6300,0.08,-4.5,2431.5,2427.0,2431
10/24/1985,A-1.1,static,6450.1,6355.1,0.065,6300,0.07,-3.6,2275.5,2271.9,2304
11/24/1986,A-1.1,static,6449.6,6354.6,0.295,6300,0.30,-16.1,2309.0,2292.9,2292
6/17/1987,A-1.1,static,5599.7,5504.7,0.052,6300,0.05,41.4,2074.0,2115.4,2097
5/19/1988,A-1.1,static,4399.9,4305.0,0.052,6300,0.05,103.8,2001.2,2104.9,2072
5/5/1990,A-1.1,static,4399.7,4304.7,0.051,6300,0.05,101.4,1903.6,2005.0,1974
6/3/1991,A-1.1,static,3863.8,3864.0,0.300,6300,0.30,730.8,1219.8,1950.6,2051
5/30/1992,A-1.1,static,6268.0,6151.0,0.430,6300,0.43,64.1,1806.1,1870.1,1876
8/31/2001,A-1.1,static,6268.0,6151.0,0.403,6300,0.40,60.0,1606.0,1666.1,1681
12/15/2002,A-1.1,static,6450.0,6342.0,0.431,6300,0.43,-18.1,1662.0,1643.9,1636
1/22/1975,A-1.0,static,6509.1,6323.1,0.283,6300,0.28,-6.5,2815.6,2809.0,2809
8/22/1975,A-1.0,static,6486.1,6300.2,0.283,6300,0.28,0.0,2815.6,2815.5,2815
2/27/1976,A-1.0,static,6499.3,6313.3,0.297,6300,0.30,-3.9,2815.6,2811.6,2811
3/23/1976,A-1.0,static,6499.3,6313.3,0.297,6300,0.30,-3.9,2758.7,2754.7,2754
